GEOID,Pct_NonWhite,Pct_PublicTrans,Pct_RentBurden,Pct_BelowPov
06037204120,98.7,71,44.63,7.3
06037204200,98.7,120,55.22,31.2
06037204300,98.2,149,50.00,23.2
06037204410,97.2,106,57.35,26.7
06037204420,98,262,45.38,32.2
06037204600,96.2,96,63.04,20.3
06037204700,95.6,155,51.60,23.4
06037204810,99.1,198,62.32,17
06037204820,97.9,137,69.10,13.4
06037204910,95.5,54,50.75,26
06037204920,97.2,39,44.06,15.1
06037205110,99.6,242,60.62,24.2
06037205120,99.6,96,67.33,36
06037206010,85.7,140,59.11,25.6
06037206020,83.1,32,34.69,13
06037206050,94,144,42.78,18.7
06037206051,45.5,0,46.81,4.4
06037206052,73.3,77,48.56,12.9
06037206053,93.4,159,53.24,27.5
06037206054,99.8,72,44.07,40.9
06037206201,77.7,155,43.76,23.6
06037206202,87.9,121,60.47,42.2
06037206301,70.8,113,37.89,74
06037206302,80.1,106,41.67,67.5
06037206303,77.7,160,36.83,74.3
06037207101,83.3,143,58.37,26.4
06037207102,89.8,160,48.57,23.5
06037207103,89,93,56.05,25.8
06037207303,64,161,53.24,23
06037207304,90,220,48.05,43.8
06037207305,49.6,60,55.22,10
06037207306,61.8,118,50.89,20.7
06037207307,74.1,76,56.47,44.8
06037207308,48.8,63,50.00,9.1
06037207400,75.4,77,62.47,28.4
06037207501,76.1,61,37.65,11
06037207502,73.5,228,54.47,40.5
06037207711,64.4,91,40.62,7.7
06037207712,80.1,301,60.95,24.3
06037207901,76.7,156,39.32,30.8
06037207902,71.5,216,50.87,21
06037208001,85.9,322,50.59,17.8
06037208002,90.7,273,58.45,30.7
06037208301,95.8,287,52.70,38.8
06037208302,90.8,361,46.92,25.5
06037208401,96.3,518,54.08,20.8
06037208402,88.8,192,47.25,16.9
06037208501,89.3,97,44.24,17.2
06037208502,94.4,523,65.26,20.7
06037208610,92.5,292,45.62,15.7
06037208620,93.8,182,52.90,16.2
06037208710,93.8,513,50.39,15.5
06037208720,91.3,741,65.20,31.4
06037208801,87.5,414,54.83,23.8
06037208802,92.1,246,67.83,31.2
06037208902,98.9,552,60.09,44.5
06037208903,96.7,1170,51.71,45.4
06037208904,98.3,621,68.22,57.2
06037209103,98.6,555,66.64,46.4
06037209104,94,419,56.59,33.4
06037209105,100,464,67.23,49.3
06037209106,85.1,149,63.62,30.6
06037209201,81.4,194,67.89,24.2
06037209202,91.5,106,79.81,42.6
06037209300,93,649,67.30,48.2
06037209401,95,798,56.56,21.6
06037209402,96.5,875,51.24,29.1
06037209403,96.4,697,71.17,25.2
06037209510,95.2,245,68.24,27.1
06037209520,96.8,362,51.60,31.3
06037209810,92.7,234,60.30,35.8
06037209820,94.7,292,46.86,17.1
06037210010,95.8,410,53.36,36.8
06037211000,51.4,29,56.96,8.7
06037211121,87.5,80,61.86,21.9
06037211122,83,283,65.79,28.1
06037211123,85.6,157,51.05,18.4
06037211124,94.2,319,50.66,13.6
06037211201,90.4,209,53.57,29.2
06037211202,87.8,307,49.51,19.3
06037211310,87.1,527,65.30,27.1
06037211320,94,470,53.63,21.5
06037211410,91.7,175,70.77,10.4
06037211420,87.6,304,65.25,18.3
06037211500,60,44,59.16,4.6
06037211701,71.4,35,54.17,11.7
06037211703,93.4,597,60.56,13.1
06037211704,85.4,199,52.43,17.3
06037211802,86.2,571,64.29,21.3
06037211803,95,256,56.24,16.2
06037211804,84.8,157,55.13,31.6
06037211910,92.5,560,57.79,16.3
06037211921,96.1,215,61.79,24.2
06037211922,93.8,297,61.65,15.1
06037212101,84.2,274,57.53,22.2
06037212102,93.6,355,61.51,30.2
06037212202,99,653,59.62,26.3
06037212203,91.9,372,63.44,36.3
06037212204,95.2,407,58.27,31.8
06037212303,93.2,375,61.01,40.2
06037212304,84.6,279,60.05,24.8
06037212305,96.7,349,55.89,28.9
06037212306,90.8,161,69.97,29.9
06037212410,92.6,742,60.06,20.6
06037212420,91,562,66.09,23.1
06037212501,79.4,203,54.49,20.8
06037212502,83.6,496,58.65,15.8
06037212610,89,253,49.63,14.1
06037212620,90.7,251,59.88,28
06037212701,87.5,93,61.84,12
06037212702,78,121,61.84,8.1
06037212800,86.7,121,61.88,6.7
06037212900,88.8,271,51.28,14.7
06037213100,92.3,127,62.79,20.2
06037213201,96.6,300,65.41,24.2
06037213202,96.9,374,46.31,15.3
06037213310,96.6,194,44.63,24
06037213320,92.7,183,52.83,30.4
06037213401,98.4,648,54.45,20.2
06037213402,95.1,522,65.47,27.3
06037214000,17.9,22,55.80,11.7
06037214100,20.4,10,56.33,6.6
06037214400,35.8,52,43.77,8.9
06037214501,67.2,16,66.50,8.7
06037214503,53.2,34,60.77,18.9
06037214504,69.4,76,50.92,18.1
06037214505,46.2,0,67.79,10
06037214600,30.1,12,46.90,9.5
06037214700,30.3,0,57.58,9.5
06037214800,33.2,6,52.64,17.7
06037214902,26.9,0,53.04,12.1
06037214903,25.1,44,67.68,24.9
06037214904,17,0,48.86,2.3
06037215101,44.7,51,53.17,13.4
06037215102,47.9,101,46.10,11.9
06037216100,55.4,9,51.32,11.3
06037216201,58,41,60.33,18
06037216202,56.1,23,45.45,11.5
06037216301,23.3,0,67.62,10.5
06037216302,50.3,15,47.50,12.3
06037216401,34.9,73,52.79,9.5
06037216402,32.7,0,56.88,8.8
06037216700,62.7,52,46.15,8.9
06037216800,46.3,95,48.73,5.4
06037216901,64.1,71,43.95,9.7
06037216902,62.2,0,44.81,25.5
06037217001,23.4,0,48.12,5.1
06037217002,39.8,45,55.07,8.6
06037217101,84.7,148,37.68,17.8
06037217102,66.2,177,49.09,19.6
06037217200,76.1,300,51.93,17.3
06037218110,87.1,210,63.17,21.3
06037218120,94.9,257,41.99,28.2
06037218210,87,330,58.18,21.2
06037218220,84.3,295,55.91,10.8
06037218300,76.1,207,47.05,20.7
06037218400,85.4,170,55.71,11.9
06037218500,88.3,168,57.50,17.8
06037218600,85.4,56,53.77,11.2
06037218701,92.8,137,68.22,19.7
06037218702,90.8,255,53.21,12.6
06037218800,91.7,94,73.57,23.8
06037218900,92.7,83,50.00,17.5
06037219010,88.1,108,61.62,11.2
06037219020,91.1,149,66.32,29.3
06037219300,89.5,101,52.57,17.8
06037219500,88.4,93,38.36,6.7
06037219700,91.6,145,52.83,17.7
06037219800,91.2,163,33.43,10.6
06037219901,91,383,59.24,12.5
06037219902,83.1,258,53.06,16.2
06037220000,89.1,162,67.07,25.3
06037220100,93.3,10,42.01,14.7
06037221110,95.2,481,49.79,19.5
06037221120,99.4,211,60.70,29.4
06037221210,92.1,151,45.98,14
06037221220,95.8,266,58.31,22.9
06037221302,93.6,382,68.66,30.9
